,dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
5307,2011-08-14,1,3,0.64,0.5758,0.89,0.2239,16,73
13740,2012-07-31,17,1,0.78,0.7121,0.52,0.2239,94,820
3641,2011-06-05,15,1,0.7,0.6515,0.54,0.0,161,417
15304,2012-10-04,21,1,0.62,0.6061,0.69,0.0,33,321
15098,2012-09-26,7,1,0.54,0.5152,0.77,0.1343,9,532
3258,2011-05-20,16,2,0.6,0.6212,0.53,0.1642,61,330
1873,2011-03-23,20,3,0.36,0.303,0.87,0.6418,3,75
4744,2011-07-21,14,1,0.9,0.8939,0.5,0.3582,50,147
10788,2012-03-30,15,3,0.42,0.4242,0.54,0.0,73,280
9909,2012-02-22,22,2,0.44,0.4394,0.47,0.2537,18,147
2912,2011-05-06,6,1,0.36,0.3636,0.81,0.0896,8,82
11035,2012-04-09,23,1,0.44,0.4394,0.44,0.2985,6,67
4027,2011-06-21,17,1,0.78,0.7576,0.66,0.2239,65,572
5488,2011-08-21,14,3,0.7,0.6667,0.79,0.3881,78,235
16017,2012-11-05,2,2,0.3,0.303,0.56,0.1642,2,6
8024,2011-12-06,0,2,0.5,0.4848,0.77,0.2985,3,28
7786,2011-11-26,1,1,0.32,0.3333,0.76,0.0896,5,29
15107,2012-09-26,16,1,0.74,0.6667,0.45,0.2836,71,468
7240,2011-11-03,7,2,0.32,0.3333,0.81,0.0896,12,292
6864,2011-10-18,14,2,0.62,0.6212,0.41,0.1642,32,169
489,2011-01-22,11,2,0.06,0.0758,0.38,0.1343,4,63
8685,2012-01-02,17,1,0.26,0.2273,0.35,0.3881,17,153
690,2011-02-01,2,2,0.16,0.2273,0.69,0.0,0,2
12013,2012-05-20,18,1,0.7,0.6515,0.51,0.3284,146,474
602,2011-01-28,8,2,0.16,0.19699999999999998,0.86,0.0896,2,157
10103,2012-03-02,1,1,0.34,0.3182,0.49,0.2239,2,20
1014,2011-02-14,22,1,0.34,0.2879,0.46,0.6567,1,45
869,2011-02-08,16,1,0.22,0.1818,0.35,0.5224,4,83
1993,2011-03-28,22,1,0.3,0.2879,0.22,0.2239,0,40
12698,2012-06-18,7,3,0.52,0.5,0.94,0.2239,10,145
11949,2012-05-18,2,1,0.48,0.4697,0.67,0.1343,12,21
10558,2012-03-21,1,1,0.52,0.5,0.83,0.0896,4,26
7610,2011-11-18,17,1,0.32,0.3333,0.31,0.1343,17,378
5283,2011-08-13,1,2,0.68,0.6364,0.57,0.0896,13,77
4370,2011-07-06,0,1,0.72,0.6970000000000001,0.74,0.19399999999999998,11,37
13886,2012-08-06,19,1,0.78,0.7424,0.59,0.19399999999999998,109,640
14008,2012-08-11,21,2,0.66,0.5909,0.89,0.1642,26,128
1361,2011-03-02,0,1,0.22,0.2273,0.69,0.1642,3,8
12933,2012-06-28,2,1,0.66,0.6212,0.5,0.0896,1,13
1526,2011-03-08,23,1,0.28,0.2727,0.61,0.19399999999999998,3,41
15458,2012-10-11,7,1,0.36,0.3333,0.5,0.2537,11,478
1629,2011-03-13,10,1,0.42,0.4242,0.47,0.2537,36,122
1551,2011-03-10,0,3,0.34,0.3182,0.0,0.2537,3,3
14194,2012-08-19,15,2,0.64,0.6061,0.65,0.0,89,276
1184,2011-02-22,9,2,0.14,0.1212,0.74,0.2537,5,106
1337,2011-03-01,0,1,0.3,0.2727,0.7,0.4627,0,7
3901,2011-06-16,11,2,0.68,0.6364,0.61,0.2985,33,150
11202,2012-04-16,23,1,0.7,0.6364,0.45,0.2985,24,121
5041,2011-08-02,23,2,0.8,0.7424,0.49,0.1642,29,132
8252,2011-12-15,12,2,0.46,0.4545,0.59,0.4925,17,157
10442,2012-03-16,5,2,0.4,0.4091,0.87,0.2239,2,32
13517,2012-07-22,10,2,0.66,0.6212,0.74,0.0,114,379
5039,2011-08-02,21,1,0.8,0.7424,0.52,0.2239,53,254
2346,2011-04-12,16,2,0.48,0.4697,0.77,0.3881,19,99
16794,2012-12-07,13,2,0.36,0.3485,0.66,0.1343,23,220
5485,2011-08-21,11,1,0.8,0.7879,0.63,0.2836,132,313
6136,2011-09-18,6,1,0.44,0.4394,0.77,0.2537,2,12
10976,2012-04-07,12,1,0.46,0.4545,0.23,0.3881,320,590
5694,2011-08-30,17,1,0.72,0.6515,0.42,0.19399999999999998,62,611
5119,2011-08-06,5,1,0.64,0.5758,0.89,0.0896,2,6
5166,2011-08-08,4,1,0.66,0.5909,0.89,0.1045,2,10
1134,2011-02-20,0,1,0.26,0.2121,0.35,0.4478,3,17
8342,2011-12-19,6,1,0.16,0.1818,0.86,0.1045,0,68
10996,2012-04-08,8,1,0.4,0.4091,0.3,0.19399999999999998,19,84
13362,2012-07-15,23,1,0.72,0.6970000000000001,0.79,0.1343,25,91
10278,2012-03-09,8,2,0.34,0.2879,0.42,0.5224,17,501
11943,2012-05-17,20,1,0.6,0.6212,0.4,0.19399999999999998,83,446
10451,2012-03-16,14,2,0.48,0.4697,0.72,0.0,56,202
4017,2011-06-21,7,2,0.6,0.5152,0.94,0.0,21,309
10409,2012-03-14,20,1,0.62,0.6212,0.35,0.1045,44,330
13011,2012-07-01,8,1,0.78,0.7424,0.62,0.1045,36,142
2424,2011-04-15,22,2,0.38,0.3939,0.82,0.3881,16,80
4138,2011-06-26,8,1,0.64,0.6212,0.61,0.19399999999999998,29,107
12048,2012-05-22,5,3,0.56,0.5303,0.88,0.19399999999999998,0,17
859,2011-02-08,6,1,0.26,0.2273,0.7,0.3284,0,39
2962,2011-05-08,8,1,0.52,0.5,0.63,0.1343,28,86
8089,2011-12-08,17,1,0.3,0.3182,0.49,0.1045,10,331
15842,2012-10-27,7,1,0.48,0.4697,0.83,0.19399999999999998,7,86
14317,2012-08-24,18,2,0.72,0.6818,0.62,0.19399999999999998,109,736
16151,2012-11-10,17,1,0.5,0.4848,0.45,0.19399999999999998,183,501
17320,2012-12-29,13,3,0.2,0.2424,1.0,0.0,13,84
15732,2012-10-22,17,1,0.62,0.6212,0.33,0.1045,84,922
1364,2011-03-02,3,1,0.22,0.2121,0.69,0.2836,3,4
7674,2011-11-21,9,2,0.48,0.4697,0.94,0.1045,15,237
1779,2011-03-19,20,1,0.42,0.4242,0.35,0.2239,39,108
12816,2012-06-23,5,2,0.64,0.5758,0.83,0.19399999999999998,1,12
2101,2011-04-02,10,2,0.36,0.3485,0.57,0.1642,41,154
1818,2011-03-21,12,2,0.44,0.4394,0.77,0.2537,25,81
369,2011-01-16,21,1,0.18,0.19699999999999998,0.51,0.1642,6,28
4937,2011-07-29,15,1,0.96,0.8636,0.3,0.2537,40,169
10896,2012-04-04,4,1,0.42,0.4242,0.67,0.0896,0,1
5285,2011-08-13,3,1,0.66,0.6212,0.65,0.1343,9,27
8367,2011-12-20,7,2,0.36,0.3788,0.62,0.0,7,268
15021,2012-09-23,2,1,0.52,0.5,0.48,0.2537,18,95
7071,2011-10-27,6,3,0.5,0.4848,0.82,0.0,4,46
2093,2011-04-02,2,1,0.24,0.2424,0.75,0.1343,1,21
11336,2012-04-22,13,3,0.38,0.3939,0.82,0.3582,5,52
11683,2012-05-07,0,2,0.52,0.5,0.77,0.1343,13,34
7817,2011-11-27,8,1,0.4,0.4091,0.82,0.2985,6,42
1920,2011-03-25,19,2,0.3,0.2879,0.36,0.2836,9,135
82,2011-01-04,14,1,0.26,0.2576,0.52,0.2239,9,63
7331,2011-11-07,2,1,0.32,0.3485,0.93,0.0,0,2
7304,2011-11-05,23,1,0.28,0.3182,0.7,0.0,4,85
816,2011-02-06,11,1,0.32,0.303,0.49,0.2537,28,117
14347,2012-08-26,0,1,0.64,0.5758,0.89,0.2537,23,134
4396,2011-07-07,2,1,0.66,0.5909,0.89,0.19399999999999998,1,8
13767,2012-08-01,20,1,0.74,0.6970000000000001,0.66,0.1642,65,513
8475,2011-12-24,19,1,0.3,0.3182,0.52,0.0896,1,25
6124,2011-09-17,18,2,0.52,0.5,0.72,0.2239,95,329
4120,2011-06-25,14,1,0.74,0.6667,0.45,0.2985,151,383
14747,2012-09-11,16,1,0.7,0.6364,0.28,0.1343,99,536
8801,2012-01-07,13,1,0.44,0.4394,0.44,0.19399999999999998,149,445
11107,2012-04-13,0,1,0.4,0.4091,0.37,0.2537,14,55
1813,2011-03-21,7,3,0.3,0.2727,0.87,0.4179,3,18
1271,2011-02-26,3,1,0.22,0.2273,0.55,0.1343,1,8
12872,2012-06-25,13,1,0.72,0.6667,0.51,0.2985,79,260
8751,2012-01-05,11,1,0.3,0.3333,0.49,0.0,6,84
2994,2011-05-09,16,1,0.64,0.6212,0.38,0.2239,49,304
14105,2012-08-15,22,1,0.7,0.6515,0.61,0.1642,29,226
6409,2011-09-29,15,1,0.68,0.6364,0.45,0.3881,42,227
14348,2012-08-26,1,1,0.64,0.5758,0.89,0.19399999999999998,18,134
2642,2011-04-25,0,3,0.52,0.5,1.0,0.0,2,12
9280,2012-01-27,14,1,0.5,0.4848,0.55,0.5522,23,176
12822,2012-06-23,11,1,0.76,0.6818,0.48,0.2239,167,516
2305,2011-04-10,22,1,0.44,0.4394,0.94,0.2537,12,57
16276,2012-11-15,22,2,0.32,0.3182,0.66,0.1642,10,153
16493,2012-11-24,23,1,0.24,0.2273,0.44,0.19399999999999998,9,57
4195,2011-06-28,17,3,0.82,0.7879,0.56,0.2836,70,579
15489,2012-10-12,14,1,0.56,0.5303,0.37,0.4627,109,371
12360,2012-06-04,5,1,0.52,0.5,0.68,0.0,2,35
3849,2011-06-14,7,1,0.56,0.5303,0.52,0.4179,19,365
17254,2012-12-26,19,3,0.3,0.2879,0.87,0.19399999999999998,2,35
15554,2012-10-15,7,2,0.58,0.5455,0.68,0.3284,15,476
17025,2012-12-17,4,3,0.36,0.3788,1.0,0.0,2,5
10606,2012-03-23,1,1,0.54,0.5152,0.88,0.0,18,50
3554,2011-06-02,0,1,0.74,0.6515,0.4,0.3582,11,42
2195,2011-04-06,8,1,0.32,0.303,0.61,0.2239,17,325
2600,2011-04-23,6,2,0.34,0.3333,1.0,0.1642,0,11
6163,2011-09-19,9,2,0.54,0.5152,0.68,0.1642,32,215
1518,2011-03-08,15,2,0.36,0.3788,0.18,0.0,35,112
12506,2012-06-10,7,1,0.6,0.5758,0.78,0.1045,21,62
11558,2012-05-01,19,1,0.7,0.6515,0.54,0.1343,58,487
13015,2012-07-01,12,1,0.9,0.8182,0.37,0.2239,114,433
13571,2012-07-24,16,1,0.8,0.7576,0.55,0.2985,86,455
6309,2011-09-25,11,2,0.66,0.6061,0.78,0.1343,131,361
10825,2012-04-01,4,2,0.34,0.3485,0.81,0.0896,3,12
5755,2011-09-02,6,1,0.6,0.5606,0.83,0.1343,3,76
5633,2011-08-27,15,3,0.64,0.5758,0.89,0.5522,2,30
8399,2011-12-21,15,2,0.48,0.4697,0.88,0.3881,4,61
6241,2011-09-22,15,2,0.68,0.6364,0.79,0.1642,32,181
10626,2012-03-23,21,1,0.62,0.6212,0.53,0.1045,64,284
7162,2011-10-31,1,1,0.26,0.303,0.81,0.0,5,13
11846,2012-05-13,19,2,0.66,0.6212,0.5,0.4179,107,339
13758,2012-08-01,11,1,0.76,0.7121,0.58,0.0896,54,234
13961,2012-08-09,22,2,0.66,0.6212,0.69,0.2239,41,259
16394,2012-11-20,20,2,0.38,0.3939,0.76,0.0,11,235
11737,2012-05-09,6,2,0.56,0.5303,0.88,0.1045,5,126
1988,2011-03-28,17,1,0.34,0.303,0.23,0.2985,25,252
9533,2012-02-07,4,2,0.3,0.3333,0.7,0.0,0,3
7737,2011-11-24,0,1,0.32,0.303,0.57,0.2239,1,23
517,2011-01-23,16,1,0.16,0.1364,0.26,0.3284,9,65
10561,2012-03-21,4,2,0.5,0.4848,0.88,0.1343,0,4
6160,2011-09-19,6,1,0.5,0.4848,0.77,0.2239,6,113
13868,2012-08-06,1,1,0.72,0.6970000000000001,0.79,0.0896,1,11
16607,2012-11-29,18,1,0.32,0.3182,0.49,0.1642,17,537
14955,2012-09-20,8,1,0.5,0.4848,0.68,0.0896,44,790
13385,2012-07-16,22,1,0.76,0.7121,0.62,0.0896,56,284
9607,2012-02-10,6,1,0.2,0.19699999999999998,0.59,0.19399999999999998,3,64
4456,2011-07-09,14,1,0.84,0.7424,0.36,0.1343,158,373
2761,2011-04-29,23,2,0.44,0.4394,0.54,0.0896,25,113
6481,2011-10-02,15,3,0.36,0.3333,0.81,0.2537,29,173
5911,2011-09-08,20,2,0.62,0.5455,0.94,0.1642,6,89
16554,2012-11-27,12,3,0.28,0.2576,0.87,0.3881,6,76
6547,2011-10-05,9,1,0.54,0.5152,0.6,0.2985,32,219
4855,2011-07-26,5,1,0.66,0.5909,0.89,0.0896,3,27
7644,2011-11-20,3,2,0.4,0.4091,0.66,0.2836,6,37
16403,2012-11-21,5,1,0.28,0.2879,0.87,0.1045,1,29
8319,2011-12-18,7,1,0.2,0.2121,0.59,0.1642,1,12
11666,2012-05-06,7,3,0.52,0.5,0.83,0.1642,5,36
6358,2011-09-27,12,2,0.66,0.5909,0.89,0.1343,33,162
9741,2012-02-15,20,1,0.36,0.3485,0.46,0.1642,4,211
12502,2012-06-10,3,1,0.64,0.6061,0.73,0.1045,6,29
2438,2011-04-16,12,2,0.46,0.4545,0.88,0.5821,6,32
3765,2011-06-10,19,1,0.78,0.7424,0.59,0.19399999999999998,61,306
6432,2011-09-30,14,2,0.64,0.6212,0.47,0.2985,93,266
8643,2011-12-31,22,1,0.38,0.3939,0.62,0.1343,2,38
7846,2011-11-28,14,1,0.6,0.6212,0.56,0.0,14,143
14345,2012-08-25,22,1,0.62,0.5758,0.83,0.3582,46,182
12253,2012-05-30,18,1,0.74,0.6667,0.48,0.1642,50,796
9665,2012-02-12,16,1,0.2,0.1667,0.34,0.4627,16,164
8058,2011-12-07,10,3,0.44,0.4394,1.0,0.0896,1,33
6340,2011-09-26,18,1,0.66,0.6061,0.83,0.1045,63,553
4821,2011-07-24,19,1,0.86,0.8029999999999999,0.47,0.1642,70,240
18,2011-01-01,18,3,0.42,0.4242,0.88,0.2537,9,35
3560,2011-06-02,6,1,0.66,0.6212,0.39,0.1343,7,113
3951,2011-06-18,13,1,0.76,0.6970000000000001,0.55,0.0,135,327
49,2011-01-03,4,1,0.16,0.1364,0.47,0.3881,0,1
3104,2011-05-14,6,2,0.5,0.4848,0.88,0.1045,2,11
887,2011-02-09,11,2,0.14,0.1515,0.43,0.1642,1,41
6261,2011-09-23,11,3,0.62,0.5152,1.0,0.1045,1,21
7236,2011-11-03,3,1,0.34,0.3333,0.81,0.1343,1,5
6989,2011-10-23,20,1,0.44,0.4394,0.72,0.0896,32,144
6043,2011-09-14,9,1,0.64,0.5909,0.78,0.1642,19,202
10808,2012-03-31,11,1,0.46,0.4545,0.72,0.1343,184,463
8708,2012-01-03,16,1,0.14,0.0909,0.39,0.5821,7,136
3168,2011-05-16,22,1,0.56,0.5303,0.88,0.0896,22,127
2949,2011-05-07,19,1,0.56,0.5303,0.43,0.19399999999999998,88,267
1424,2011-03-04,15,1,0.36,0.3333,0.4,0.2985,31,106
139,2011-01-07,1,2,0.2,0.19699999999999998,0.69,0.2239,2,7
10116,2012-03-02,14,2,0.44,0.4394,0.44,0.2836,29,205
10570,2012-03-21,13,2,0.54,0.5152,0.83,0.0,81,303
3197,2011-05-18,3,3,0.52,0.5,0.94,0.2985,6,9
5131,2011-08-06,17,3,0.74,0.7121,0.79,0.1642,61,149
112,2011-01-05,21,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,43
8160,2011-12-11,16,1,0.3,0.3333,0.26,0.0,32,206
16095,2012-11-08,9,1,0.32,0.2879,0.31,0.3582,22,275
4559,2011-07-13,21,1,0.7,0.6667,0.79,0.1045,56,250
4595,2011-07-15,9,1,0.68,0.6364,0.54,0.19399999999999998,31,207
11442,2012-04-26,23,1,0.5,0.4848,0.88,0.1642,6,112
4690,2011-07-19,8,2,0.76,0.7273,0.7,0.1642,31,412
11254,2012-04-19,3,2,0.42,0.4242,0.77,0.0,1,4
7951,2011-12-02,23,1,0.32,0.303,0.53,0.2836,14,95
14750,2012-09-11,19,1,0.62,0.6212,0.41,0.19399999999999998,56,596
12738,2012-06-19,23,1,0.72,0.6970000000000001,0.79,0.1343,23,125
13816,2012-08-03,21,2,0.76,0.7273,0.66,0.19399999999999998,54,278
3277,2011-05-21,11,1,0.64,0.6212,0.53,0.1343,173,418
10758,2012-03-29,9,1,0.48,0.4697,0.48,0.4179,22,321
4068,2011-06-23,10,2,0.76,0.7273,0.66,0.1343,39,127
4408,2011-07-07,14,1,0.86,0.7879,0.41,0.2537,39,160
13106,2012-07-05,7,1,0.76,0.6970000000000001,0.55,0.0,27,343
15918,2012-10-31,23,1,0.36,0.3636,0.57,0.0896,7,101
9729,2012-02-15,8,1,0.32,0.2879,0.61,0.3582,7,515
11414,2012-04-25,19,1,0.6,0.5909,0.2,0.19399999999999998,42,543
10667,2012-03-25,14,2,0.44,0.4394,0.88,0.1642,123,414
451,2011-01-20,20,2,0.26,0.2424,0.6,0.2836,2,126
7262,2011-11-04,5,2,0.38,0.3939,0.87,0.0,0,23
3731,2011-06-09,9,1,0.84,0.7879,0.49,0.0,20,168
7256,2011-11-03,23,1,0.4,0.4091,0.82,0.0896,15,95
16483,2012-11-24,13,1,0.32,0.303,0.36,0.3284,64,225
4986,2011-07-31,16,1,0.92,0.7727,0.17,0.2836,98,306
3663,2011-06-06,13,1,0.78,0.6818,0.35,0.0,28,180
2763,2011-04-30,1,2,0.44,0.4394,0.54,0.1642,15,74
8850,2012-01-09,14,3,0.22,0.2273,0.75,0.1642,5,50
13617,2012-07-26,14,1,0.9,0.8788,0.47,0.2537,62,213
1855,2011-03-23,1,3,0.34,0.3182,0.76,0.2239,0,7
999,2011-02-14,7,1,0.34,0.303,0.46,0.2985,2,98
389,2011-01-17,17,1,0.2,0.19699999999999998,0.51,0.19399999999999998,4,71
11599,2012-05-03,12,1,0.56,0.5303,0.73,0.1343,64,301
6426,2011-09-30,8,1,0.54,0.5152,0.77,0.1343,31,456
1476,2011-03-06,20,3,0.28,0.2424,1.0,0.4179,3,11
2240,2011-04-08,5,2,0.32,0.3182,0.87,0.19399999999999998,1,9
10578,2012-03-21,21,1,0.54,0.5152,0.83,0.1045,47,251
16653,2012-12-01,16,2,0.38,0.3939,0.66,0.0,89,443
8112,2011-12-09,16,1,0.36,0.3485,0.62,0.1343,24,250
992,2011-02-14,0,1,0.38,0.3939,0.37,0.3582,3,11
7032,2011-10-25,15,1,0.56,0.5303,0.37,0.1045,63,234
4997,2011-08-01,3,1,0.7,0.6667,0.79,0.1642,0,4
3922,2011-06-17,8,2,0.6,0.5606,0.83,0.0,28,454
2972,2011-05-08,18,1,0.58,0.5455,0.49,0.0,63,268
11578,2012-05-02,15,1,0.64,0.6061,0.65,0.19399999999999998,52,256
6871,2011-10-18,21,2,0.54,0.5152,0.68,0.1343,28,206
15327,2012-10-05,20,1,0.6,0.5758,0.78,0.1343,66,372
4769,2011-07-22,15,1,0.94,0.9848,0.51,0.2985,32,133
1293,2011-02-27,1,1,0.26,0.2576,0.87,0.19399999999999998,7,37
10016,2012-02-27,9,1,0.26,0.2576,0.6,0.19399999999999998,11,230
11065,2012-04-11,6,1,0.28,0.2879,0.56,0.1045,3,106
4173,2011-06-27,19,1,0.72,0.6818,0.62,0.19399999999999998,56,396
2535,2011-04-20,13,1,0.7,0.6515,0.48,0.3881,42,177
16647,2012-12-01,10,2,0.28,0.2727,0.89,0.1642,45,256
1907,2011-03-25,6,1,0.18,0.1818,0.74,0.2239,0,32
16938,2012-12-13,13,1,0.36,0.3485,0.34,0.19399999999999998,41,271
4946,2011-07-30,0,1,0.76,0.6970000000000001,0.55,0.19399999999999998,60,133
8560,2011-12-28,11,1,0.36,0.3333,0.46,0.3582,18,111
6033,2011-09-13,23,1,0.64,0.5909,0.78,0.1045,15,74
7619,2011-11-19,2,1,0.24,0.2424,0.56,0.1642,12,46
1151,2011-02-20,18,2,0.34,0.3333,0.36,0.1343,30,101
1567,2011-03-10,18,3,0.44,0.4394,0.0,0.3582,2,82
3171,2011-05-17,1,3,0.56,0.5303,0.88,0.0,7,13
15346,2012-10-06,15,1,0.6,0.6212,0.46,0.4179,279,620
9689,2012-02-13,16,1,0.36,0.3485,0.23,0.19399999999999998,5,211
7106,2011-10-28,17,2,0.36,0.3485,0.5,0.1343,35,446
16390,2012-11-20,16,2,0.42,0.4242,0.62,0.0896,60,395
4160,2011-06-27,6,2,0.62,0.5909,0.78,0.1642,4,94
4287,2011-07-02,13,1,0.82,0.7121,0.3,0.1045,178,404
2230,2011-04-07,19,1,0.46,0.4545,0.59,0.2985,34,226
15139,2012-09-28,0,3,0.6,0.5455,0.88,0.1642,2,17
174,2011-01-08,13,1,0.2,0.1818,0.44,0.3284,7,102
1903,2011-03-25,2,1,0.2,0.19699999999999998,0.69,0.2239,0,5
9291,2012-01-28,1,1,0.3,0.303,0.52,0.1642,1,58
8752,2012-01-05,12,1,0.3,0.2879,0.49,0.2537,6,120
16969,2012-12-14,20,1,0.32,0.3333,0.61,0.1343,12,221
3408,2011-05-26,22,1,0.7,0.6515,0.65,0.1343,23,180
1538,2011-03-09,11,2,0.32,0.2879,0.76,0.3881,15,59
2292,2011-04-10,9,2,0.38,0.3939,0.94,0.1343,31,81
9523,2012-02-06,18,1,0.38,0.3939,0.43,0.2239,11,437
1363,2011-03-02,2,1,0.22,0.2273,0.69,0.19399999999999998,0,2
4357,2011-07-05,11,1,0.78,0.6970000000000001,0.46,0.1045,75,172
5260,2011-08-12,2,1,0.62,0.6212,0.57,0.19399999999999998,0,15
13815,2012-08-03,20,2,0.78,0.7576,0.66,0.2239,89,389
17071,2012-12-19,2,1,0.28,0.303,0.65,0.0896,1,3
680,2011-01-31,16,2,0.16,0.1818,0.56,0.19399999999999998,3,86
14636,2012-09-07,1,1,0.62,0.5606,0.88,0.1045,10,29
3664,2011-06-06,14,1,0.78,0.6818,0.31,0.1343,46,145
1661,2011-03-14,19,1,0.36,0.3485,0.43,0.1343,17,150
508,2011-01-23,7,1,0.08,0.1061,0.58,0.1642,1,2
166,2011-01-08,5,2,0.16,0.1667,0.74,0.1642,0,5
16446,2012-11-23,0,1,0.28,0.3182,0.65,0.0,0,32
9198,2012-01-24,4,2,0.3,0.3182,1.0,0.0896,0,2
15463,2012-10-11,12,1,0.46,0.4545,0.36,0.0,47,326
7365,2011-11-08,12,1,0.52,0.5,0.52,0.1343,28,203
1914,2011-03-25,13,1,0.32,0.3182,0.39,0.19399999999999998,34,138
11686,2012-05-07,3,1,0.5,0.4848,0.77,0.19399999999999998,2,5
7263,2011-11-04,6,2,0.38,0.3939,0.87,0.0896,2,66
3854,2011-06-14,12,1,0.64,0.6212,0.41,0.3582,30,169
4199,2011-06-28,21,1,0.74,0.6970000000000001,0.66,0.2836,31,195
7361,2011-11-08,8,1,0.32,0.3333,0.93,0.1045,11,466
10728,2012-03-28,3,1,0.34,0.303,0.42,0.3284,1,5
1104,2011-02-18,18,1,0.64,0.6212,0.33,0.3284,29,224
12067,2012-05-23,0,1,0.62,0.5909,0.78,0.1343,19,47
16855,2012-12-10,2,2,0.38,0.3939,0.94,0.1045,2,5
9944,2012-02-24,9,3,0.36,0.3333,0.81,0.2537,15,244
5310,2011-08-14,4,3,0.64,0.5606,0.94,0.19399999999999998,1,3
13968,2012-08-10,5,3,0.7,0.6667,0.84,0.2836,4,33
11108,2012-04-13,1,1,0.36,0.3485,0.46,0.19399999999999998,2,30
11156,2012-04-15,1,2,0.54,0.5152,0.56,0.1642,17,106
5754,2011-09-02,5,2,0.6,0.5606,0.83,0.1343,0,20
152,2011-01-07,15,2,0.2,0.2121,0.37,0.1642,9,72
14703,2012-09-09,20,1,0.62,0.6212,0.41,0.2836,91,356
5679,2011-08-30,2,1,0.54,0.5152,0.73,0.1045,2,10
12099,2012-05-24,8,1,0.62,0.5909,0.73,0.1343,33,692
2832,2011-05-02,22,2,0.6,0.5909,0.73,0.0,28,125
10744,2012-03-28,19,1,0.6,0.6212,0.56,0.19399999999999998,41,456
17288,2012-12-28,5,2,0.24,0.2576,0.6,0.0896,0,15
13050,2012-07-02,23,1,0.74,0.6667,0.51,0.1045,12,102
3551,2011-06-01,21,1,0.74,0.6970000000000001,0.7,0.2836,29,190
3722,2011-06-09,0,2,0.74,0.7121,0.79,0.1343,7,47
13638,2012-07-27,11,1,0.84,0.7727,0.47,0.3284,67,251
15846,2012-10-27,11,1,0.56,0.5303,0.64,0.2836,197,585
12541,2012-06-11,18,2,0.8,0.7273,0.43,0.2985,105,831
4538,2011-07-13,0,1,0.76,0.7121,0.62,0.0,9,46
13777,2012-08-02,6,1,0.66,0.6061,0.83,0.0,6,183
10014,2012-02-27,7,1,0.24,0.2273,0.6,0.2239,2,280
12278,2012-05-31,19,1,0.72,0.6515,0.34,0.1642,104,591
13932,2012-08-08,17,2,0.8,0.7576,0.55,0.2836,107,858
8463,2011-12-24,7,1,0.3,0.2727,0.7,0.3582,0,10
1991,2011-03-28,20,1,0.32,0.3333,0.22,0.1045,5,112
16339,2012-11-18,13,1,0.4,0.4091,0.62,0.3284,113,447
8501,2011-12-25,22,1,0.28,0.2727,0.61,0.1642,2,17
14705,2012-09-09,22,1,0.58,0.5455,0.49,0.2537,64,189
5141,2011-08-07,3,2,0.7,0.6667,0.84,0.1343,9,32
10743,2012-03-28,18,1,0.6,0.6061,0.6,0.2239,61,641
11791,2012-05-11,12,1,0.56,0.5303,0.28,0.4179,89,348
11814,2012-05-12,11,1,0.62,0.6212,0.41,0.0896,157,522
3811,2011-06-12,17,3,0.68,0.6364,0.83,0.2836,94,252
16148,2012-11-10,14,1,0.54,0.5152,0.37,0.0,280,627
3450,2011-05-28,16,1,0.76,0.6970000000000001,0.55,0.2836,201,402
4591,2011-07-15,5,1,0.6,0.5909,0.73,0.1343,7,23
7352,2011-11-07,23,1,0.36,0.3636,0.87,0.0896,1,48
205,2011-01-09,20,1,0.14,0.1212,0.46,0.2537,0,38
9327,2012-01-29,13,1,0.32,0.303,0.26,0.2239,78,316
6680,2011-10-10,22,1,0.56,0.5303,0.88,0.0896,22,126
2749,2011-04-29,11,1,0.6,0.6212,0.38,0.2239,49,157
11805,2012-05-12,2,1,0.46,0.4545,0.59,0.1343,10,56
8497,2011-12-25,18,1,0.32,0.3182,0.7,0.19399999999999998,7,30
1849,2011-03-22,19,2,0.44,0.4394,0.54,0.2537,22,164
13413,2012-07-18,2,1,0.74,0.6970000000000001,0.66,0.1343,3,8
6028,2011-09-13,18,1,0.7,0.6515,0.61,0.1642,67,539
10180,2012-03-05,6,1,0.18,0.19699999999999998,0.59,0.1343,2,91
3240,2011-05-19,22,3,0.5,0.4848,0.82,0.2985,11,79
10990,2012-04-08,2,1,0.44,0.4394,0.24,0.2239,7,32
12707,2012-06-18,16,2,0.6,0.5909,0.73,0.19399999999999998,53,332
14699,2012-09-09,16,1,0.68,0.6364,0.36,0.2836,228,701
3109,2011-05-14,11,2,0.52,0.5,0.94,0.1343,72,279
12251,2012-05-30,16,1,0.72,0.6667,0.51,0.1642,46,398
10179,2012-03-05,5,1,0.2,0.2273,0.55,0.0896,1,18
5934,2011-09-09,19,1,0.66,0.5909,0.89,0.1642,33,349
15170,2012-09-29,7,1,0.48,0.4697,0.67,0.2836,12,73
5810,2011-09-04,13,2,0.78,0.7424,0.62,0.2836,245,419
8575,2011-12-29,2,1,0.2,0.2273,0.51,0.1045,0,3
5634,2011-08-27,16,3,0.64,0.5758,0.89,0.5224,10,24
4307,2011-07-03,9,1,0.7,0.6667,0.74,0.2537,82,181
11580,2012-05-02,17,1,0.6,0.5909,0.73,0.2537,70,729
3156,2011-05-16,10,1,0.62,0.6061,0.65,0.0896,37,112
